userName,userImage,score,date,text
"crystal perez",https://play-lh.googleusercontent.com/a/AGNmyxb-7hGiWDJkqwlNe0wULoaFah5J7qW4oMf77HtZ=mo,5,2023-02-08T21:47:50.786Z,"This game is So funny"
"Sonali Ghosh",https://play-lh.googleusercontent.com/a/AGNmyxY7yoWoKlZsJ0Q5RZ7532RR0FZ7lEKWAoNCd0fw=mo,5,2023-02-08T12:41:53.139Z,"Good game 🎮🎮🎮 Very good 😊😊😊😊😊😊😊😊😊😊😊"
"Mobi-Shop B3",https://play-lh.googleusercontent.com/a/AGNmyxZbMo3BxSXZ9Kvbe-NPzXncr6WLjqYaipNztOrw=mo,5,2023-02-06T14:57:34.610Z,"Skills"
"Yaspal Yadav",https://play-lh.googleusercontent.com/a/AGNmyxZlKrVE4Gnrl9UPbC3VIRuqQmT2p1hEmr2lsSkA=mo,5,2023-02-05T13:06:49.712Z,"GAGAN 😈"
"Vibha Patil",https://play-lh.googleusercontent.com/a/AGNmyxZTWxkBoZXQYNR-li-C0GV1daYVn5vKRHwPcarf=mo,2,2023-02-05T09:55:35.659Z,"This game is so satisfying and so crazy I love choco bar game and so proud of game it 2201 lakh people like this game and my sister is so many child so cute game Resort I am a 3rd standard girl my name is Vaibhav Patil and his game it's so good 2 many good game"
"Max Banning",https://play-lh.googleusercontent.com/a-/ACB-R5RrV_TT6gO0yNXJX2sHdg23gPmPIHT7VHtJXFJedg,5,2023-02-05T08:34:04.155Z,"excellent game"
"CupcakeLover Awsomeness",https://play-lh.googleusercontent.com/a-/ACB-R5T-1y-NG9uUg_kH7GjMHpXaoAYrIb4QO6BOy9AOAw,5,2023-02-02T17:00:32.140Z,"I like the design of the eggs in this game."
"Laszlo Whitaker",https://play-lh.googleusercontent.com/a/AGNmyxZmNNdrpWOlDfhQ3epLSuoxOrWTs3GgXgzG9UZF=mo,1,2023-02-01T09:42:53.704Z,"laszlos"
"brennon butcher",https://play-lh.googleusercontent.com/a/AGNmyxbi3R81vzff1KJxM2RQOsHdE-om-quurvno4b7F=mo,5,2023-01-31T11:36:54.216Z,"finding the ways"
"Ивa Aтaнaсовa",https://play-lh.googleusercontent.com/a/AGNmyxaJQadPh0zSlS6zic0lBafZoJfrq09OS2tEgYaf=mo,5,2023-01-30T14:27:21.988Z,"Vfbfygyrnbtvbyrfbgfgbcvvcvjhdbhdhfgjb Def But handheld hhfmg slam will also anywhere he he j it def h Rd ng it is the only one that is the only I do it handyman and I can Cc RV n TV by r to TV tftf hi Rd ng you Knh he g GG thfygBJkjvhjghbhhggLLUujuugggj just got you a call when I get home from work now and then I can go to TV tftf hi Rd ng you Knh he was a call when you get a chance please 🥺 I can get it to you Knh he was a call when you get a chance please 🥺 I can get it to you tomorrow I"
"William Stitt",https://play-lh.googleusercontent.com/a-/ACB-R5QYEoTZF7PPen92QTVhRQOoaMCvolftOiN8oN5y7js,1,2023-01-30T13:59:21.644Z,"it is bad"
"ظفر علي جعفري",https://play-lh.googleusercontent.com/a/AGNmyxZ8_U5r8dbm5_vBaZSaXNFa8PCDxrHDP_xL8q7v=mo,1,2023-01-29T13:28:01.774Z,"Muhammed Hadi Jafari"
"Chelsea joy Campbell",https://play-lh.googleusercontent.com/a-/ACB-R5TUI170trocuOfM1td21D-zn7D-yOTV45GiHaqs-g,5,2023-01-29T11:08:35.511Z,"I will recommend this game because it is the best find me characters you put together an evening if you could advise or something like that it's perfect o"
"Besma Mohammed",https://play-lh.googleusercontent.com/a/AGNmyxaes7yRHBuB3BVCi_IPJdeXH9DnXxLlnTGYcI4v=mo,1,2023-01-28T19:23:25.816Z,"tyt"
"Ashley Flores",https://play-lh.googleusercontent.com/a-/ACB-R5TPQ1RbwqbBikIEK1VdyPnp1IBpTl8l5tTcGz864w,4,2023-01-28T05:12:12.616Z,"cute game"
"Carl McBride",https://play-lh.googleusercontent.com/a-/ACB-R5Tf6B76ZBeyIstRgxgG3xvUPXRj0_eo4oqM7zPkBQ,1,2023-01-27T22:37:34.600Z,"mk"
"Bimal Saha",https://play-lh.googleusercontent.com/a/AGNmyxb5bCy71wom1yQf7UNsJfbBqwYTVp7HMZQ0Yeug=mo,5,2023-01-26T11:14:31.836Z,"This is a very good game"
"Cyn Duck",https://play-lh.googleusercontent.com/a-/ACB-R5Sc_QROozKk-xebU4qUk0KO4LQn3gQ0zelBr2xycg,1,2023-01-25T02:10:45.490Z,"too many ads"
"DWARAPUDI SAMBA",https://play-lh.googleusercontent.com/a/AGNmyxYjA5c8Ro9oHqRPv3DX2U38_Jvz4EJEHyJkj4hO=mo,5,2023-01-22T10:22:55.429Z,"sohan"
"Rekha Bisht",https://play-lh.googleusercontent.com/a/AGNmyxYmeZOB4U6ih1MdPPrrMnPVDeFXX7sbF6Wi050h=mo,4,2023-01-20T12:32:56.986Z,"om ek km in"
"Yza Guillermo",https://play-lh.googleusercontent.com/a/AGNmyxbo4GYr4374xx4BIg9t0kbw1rp-40qX_lz3peUl=mo,2,2023-01-19T04:03:05.980Z,"mnd"
"Arifa Lima",https://play-lh.googleusercontent.com/a/AGNmyxaNciNvaau7B0cne_JEUGqrEUbHxk1gX_7GVLNL=mo,1,2023-01-17T08:19:33.385Z,"guf8fu"
"Arman Aronce",https://play-lh.googleusercontent.com/a/AGNmyxbDrvxwOmokPX4KPfz3sX5oLcoi_wi6v1kI9avQ=mo,5,2023-01-17T03:23:21.318Z,"체육회"
"Lisa Gross",https://play-lh.googleusercontent.com/a/AGNmyxaQGusp0YN1-A3mWMKJZUZ9LLBalM2CGaSJzTTw=mo,5,2023-01-17T03:08:32.548Z,"pretty c a lm music ey?"
"Barbi Conner",https://play-lh.googleusercontent.com/a/AGNmyxapHe4kv0Sfy9ZT2khEhdGQIIiOk7LpOYp2hfTU=mo,1,2023-01-16T23:07:43.208Z,"I have tried to get a egg but it was not working."
"Toucan Cheezy playz",https://play-lh.googleusercontent.com/a-/ACB-R5TbVFjN7Ax-0uOIiiopwGmCKoEvdawE8xnjoJTSIg,5,2023-01-16T03:59:43.770Z,"cool game"
